# Sub-batch P006.9 (from P006)
# Created: 2026-02-06T20:03:18Z
# Videos: 10
#
# Format: source_name | video_folder_name
social_stoic | Crazy Pickup Lines That Actually WORKED (Infield Breakdown) [JYzJLfBi4R0]
social_stoic | Do Absurd Pick-Up Lines Actually Work？ (Infields) [-CZtcqqEDdk]
social_stoic | Do THIS To 10x Your Results With Women (Infield Examples) [XOS_kGpXl0U]
social_stoic | Flirt Like This or Stay Friendzoned Forever (Infield Proof) [s4aUoByxPfU]
social_stoic | He Approached 950 Women in 1 Month! (+ Infield) [p8NGf6VWOfo]
social_stoic | How To Approach ANY Girl in Public (Without Being Scared) [A-gUGrsvkKY]
social_stoic | How To Approach Groups Of Girls (The Complete Guide) [G2sWa8X0EjA]
social_stoic | How To Approach Hot Women (Infield Examples) [Sz1f6OiO5Ko]
social_stoic | How To Create Sexual Spark in 60 Seconds (Infield Examples) [OteE5cgUSOk]
social_stoic | How To Make Any Boring Conversation Flirty (Infield Examples) [lSXqK_zSgNU]
