# Sub-batch P001.3 (from P001)
# Created: 2026-02-06T12:26:19Z
# Videos: 10
#
# Format: source_name | video_folder_name
austen_summers_meets_girls | Casey Neistat Picking Up Girls [fbRpUOxqWcs]
austen_summers_meets_girls | Date with Canadian Girl - Exploring Toronto With Lauren [qxJbBcLOnbg]
austen_summers_meets_girls | How I Got Laid With A Shy College Girl [-gg0Ykxalkk]
austen_summers_meets_girls | How to Ask a Girl Out  (using her own advice) [qWqNDrjfUvc]
austen_summers_meets_girls | How to Date a Blonde Finnish Girl + Date Tips [jPHmLAZON_s]
austen_summers_meets_girls | How to Take Home a Latina MILF (+Daygame Infield) [bzUa2cB61hU]
austen_summers_meets_girls | How to Take Home a Swedish Blonde [D1t_K8hjJzc]
austen_summers_meets_girls | I Took Her to the Secret Beach 🤫 - Florida Date with American Girl [9I7JBV15FNM]
austen_summers_meets_girls | Picking Up Cosplay Girls At Comic-Con  2019 [XDZbqorwGNk]
austen_summers_meets_girls | Picking Up Cosplay Girls At Comic-Con 2019 - PART 2 [R6inrSd9qFk]
