# Sub-batch P012.5 (from P012)
# Created: 2026-02-06T20:12:59Z
# Videos: 10
#
# Format: source_name | video_folder_name
daily_evolution | Ran Into A Girl I Used To OBSESS OVER [fepA_EVYEQ8]
daily_evolution | Rejections Equal Success [QKC0Sw1mBkk]
daily_evolution | Return of the King [qjjU6nYxgvU]
daily_evolution | Reviving a DEAD SET! Text Game Examples! [EL34lp4lni8]
daily_evolution | Rise Of The Incel [osQzWoclsKs]
daily_evolution | Rizzcon 2025 Announcement [G78esHPKLbw]
daily_evolution | Rizzcon Will Change EVERYTHING [h9hwKgcAV_0]
daily_evolution | Rizzing A Hot Blonde At The Grocery Store [fp2KhjaR7aQ]
daily_evolution | Rizzing The Hottest Girl You've Ever Seen 🤯 [7Qsz-VymDDk]
daily_evolution | Rizzing Two Hot Women In Miami [WNrUqfR4OeY]
